x_image	y_image	clusters	TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING
21485	12856	13	100	0	100	100	100
8718	13378	14	0	100	0	100	100
16996	19173	5	0	100	0	100	100
20326	14372	13	100	0	100	100	100
16846	15891	10	0.049	99.951	0.049	100	100
14379	15137	10	0	100	0	100	100
20033	12353	13	100	0	100	100	100
11473	12112	6	100	0	100	100	100
15399	18923	8	0	100	0	100	100
21053	15129	9	2.845	21.486	2.845	21.943	21.934
21349	20177	1	0	100	0	100	100
14086	13118	6	100	0	100	100	100
15832	17155	10	0	100	0	100	100
15533	10592	2	99.997	0	99.997	99.997	99.997
13790	9079	3	100	0	100	100	100
9731	11104	8	0	100	0	100	100
14231	12865	6	100	0	100	100	100
19746	14373	13	100	0	100	100	100
16998	20688	14	0	100	0	100	100
20910	16896	1	0	0	0	0	0
13934	8322	3	100	100	100	100	100
13209	8070	6	100	0	100	100	100
8858	9591	4	0	100	0	100	100
22359	15379	9	90.908	73.863	90.908	92.045	92.045
14819	18923	8	0	100	0	100	100
14956	13117	2	100	0	100	100	100
19306	11092	2	100	0	100	100	100
14381	17157	5	0	98.462	0	98.462	98.462
15244	11097	2	100	0	100	100	100
10892	11608	0	0	100	0	100	100
21630	13108	13	100	0	100	100	100
15108	17913	5	0	99.951	0	99.951	99.951
23669	18659	1	0	100	0	100	100
19462	19422	5	0	0	0	0	0
11187	15142	8	0	100	0	100	100
20476	18159	1	5.882	94.118	5.882	100	100
20903	11847	7	0	0	0	0	0
15978	17912	5	0	99.225	0	99.225	99.225
11176	6558	0	0	100	0	100	100
15249	15136	6	100	0	100	100	100
20325	13362	13	100	0	100	100	100
23085	16136	9	0	99.899	0	99.899	99.899
15387	9330	7	100	0	100	100	100
23513	10834	7	100	0	100	100	100
8567	9086	15	0	0	100	100	0
16551	12358	2	100	0	100	100	100
16549	10843	2	100	0	100	100	100
17431	19425	5	0	100	0	100	100
23515	12348	15	0	0	0	0	0
15391	12359	2	100	0	100	100	100
17273	9580	2	0	0	0	0.389	0
16852	20435	4	0	100	0	100	100
15397	17408	5	0	0.098	0	0.098	0.098
22499	12097	7	100	0	100	100	99.997
23524	18912	1	0	99.998	0	99.998	99.998
16553	13872	12	100	0	100	100	100
10896	14637	8	0	100	0	100	100
13215	13119	3	0	100	0	100	100
14522	13875	6	100	0	100	100	100
19026	18665	5	11.168	99.728	11.168	99.815	99.815
18292	12355	11	100	0	100	100	100
12778	11858	3	0.098	99.902	0.098	100	100
18289	9831	2	0	0	0	0	0
16119	14630	6	100	0	100	100	100
23662	13610	15	0	0	100	100	0
15679	10844	2	88.571	0	88.571	88.571	88.571
12346	14130	0	0	50	0	50	50
20615	13362	13	100	0	100	100	100
14233	14380	6	0	0	0	0	0
23222	10329	7	0	0	0	0	0
15829	14630	6	100	0	100	100	100
18001	11851	2	10.775	5.932	12.833	14.407	21.186
11616	10849	3	99.799	99.799	99.799	99.994	99.994
9293	9338	8	0	100	0	100	100
20912	18411	1	0	100	0	100	100
19454	13363	13	100	0	100	100	100
14661	9078	15	0	0	0	0	0
13363	14886	6	100	0	100	100	66.667
10017	8075	0	0	0	0	0	0
20043	19421	1	0	100	0	100	100
11911	14383	0	0	0.049	0	0.049	0.049
18005	14880	12	100	0	100	100	100
10160	6812	0	0	100	0	100	100
23666	16640	1	0	100	0	100	100
14527	17409	5	0	0	0	0	0
22509	19671	1	0	100	0	100	100
22938	14369	9	0	0	0	0	0
19463	19927	1	0	88.889	0	88.889	88.889
23379	18660	1	0	100	0	100	100
11620	13374	0	0	0.775	0	0.775	0.775
22361	17399	1	0	0.019	0	0.015	0.015
10747	11355	0	0	100	0	100	100
17128	9832	2	0.006	0	0.006	0.006	0.006
19313	16141	9	0.099	0.002	0.099	0.1	0.1
16118	14125	12	100	0	100	100	100
13219	16149	5	0	0	0	0	0
19460	17908	1	0	100	0	100	100
20614	12857	13	100	0	100	100	100
13069	12362	3	0	100	0	100	100
18726	11092	2	100	0	100	100	100
14668	14632	6	0	0	0	0	0
10314	13628	8	0	100	0	100	100
12784	15897	0	0	99.951	0	99.951	99.951
16991	15639	6	100	0	100	100	100
9005	10853	4	0	100	0	100	100
14672	17661	5	0	0	0	0	0
22788	11087	7	0	0	0	0	0
20185	17149	1	0	100	0	100	100
10598	8579	0	0	0	0	0	0
13801	17158	5	0	0	0	0	0
13218	15139	0	98.455	0.006	98.455	98.461	98.461
18586	15384	12	100	0	100	100	100
22934	11339	7	0	0	0	0	0
19172	19423	5	0	94.029	0	94.029	94.029
22070	16894	1	0.195	0.098	0.195	0.292	0.292
15533	10087	13	100	0	100	100	100
19603	16140	9	0.103	0.003	0.101	0.101	0.101
15978	17407	5	99.992	0.008	99.992	100	100
23232	17398	1	0	100	0	100	100
16260	11853	2	100	0	100	100	100
18008	16900	10	11.112	88.888	11.112	100	100
20758	11595	7	99.902	0	99.902	99.902	99.902
11762	11102	3	100	100	100	100	100
17427	16396	10	100	0	100	100	100
9291	7823	4	0	100	0	100	100
8570	11106	4	0	100	0	100	100
17565	10589	2	99.988	0	99.988	99.988	99.988
11761	10597	3	100	100	100	100	100
19459	16898	10	0.8	96.235	0.8	96.985	96.987
22939	15378	9	0	0.061	0	0.022	0.022
23519	14873	9	0	0.389	0	0.389	0.389
19159	9830	2	100	0	100	100	100
22647	13864	9	0	0	0	0	0
17715	14880	12	100	0	100	100	100
10751	14385	8	0	100	0	100	100
13221	17663	8	0	100	0	100	100
8859	10096	4	0	100	0	100	100
21491	17400	1	0	0	0	0	0
9591	14891	4	0	100	0	100	100
11324	8830	6	100	0	100	100	0.013
18155	18162	5	0.195	99.999	0.195	100	100
21194	12351	13	100	0	100	100	100
12918	7566	0	0	0.024	0	0.024	0.024
21632	14118	9	99.628	0.348	99.628	99.975	99.973
15980	19427	8	0	100	0	100	100
11770	17160	4	0	100	0	100	100
14666	12612	2	100	0	100	100	100
21636	17652	1	0	0	0	0	0
19308	12101	11	0	0	0	0	0
18583	12860	11	100	0	100	100	100
18004	13870	11	100	0	100	100	100
14376	13118	6	100	0	100	100	100
16269	18417	5	0	0	0	0	0
9733	12619	8	0	100	0	100	100
21049	12604	7	100	0	100	100	100
23224	11844	7	100	0	100	100	99.805
20327	14877	12	100	0	100	100	100
21917	10583	7	100	0	100	100	100
15976	15893	10	100	0	100	100	100
14954	11097	2	0	0	0	0	0
18448	20181	4	0	100	0	100	100
13946	17410	5	0	0	0	0	0
21051	14119	13	100	0	100	100	100
20912	18915	1	0.009	99.99	0.009	100	100
16700	15134	6	100	0	100	100	100
18012	19929	1	0	100	0	100	100
20044	20431	14	0	100	0	100	100
19460	17403	1	0	100	0	100	100
12642	18169	4	0	100	0	100	100
10026	15143	4	0	100	0	100	100
12052	11101	3	99.902	0.098	99.902	100	100
18288	9326	2	100	0	100	100	100
19741	10839	2	100	0	100	100	100
18734	17151	10	100	0	100	100	0
23229	15378	9	0.002	79.003	0.002	79.005	79.005
18292	11850	11	100	0	100	100	100
